track_name,artists,macro_genre,popularity
The Fox - Live From The Freight And Salvage/2000,Nickel Creek,folk-acustico,20
Sharp Dressed Man - 2003 Remaster,ZZ Top,jazz-blues,0
I've Been Loving You Too Long - Remastered Mono,Otis Redding,jazz-blues,0
Here I Go Again 87 - 2018 Remaster,Whitesnake,jazz-blues,0
Abracadabra - Remastered 2017,Steve Miller Band,jazz-blues,2
Abracadabra - Remastered 2017,Steve Miller Band,jazz-blues,1
La Grange - 2005 Remaster,ZZ Top,jazz-blues,77
Smoke On The Water - Remastered 2012,Deep Purple,jazz-blues,73
I Feel Free - Remastered,Cream,jazz-blues,0
Baby Blue - Remastered 2010,Badfinger,jazz-blues,67
Driving Home for Christmas - 2019 Remaster,Chris Rea,jazz-blues,1
Buona Sera - Remastered 2002,Louis Prima;Keely Smith;Sam Butera & The Witnesses,jazz-blues,0
Driving Home for Christmas - 2019 Remaster,Chris Rea,jazz-blues,0
Driving Home for Christmas - 2019 Remaster,Chris Rea,jazz-blues,0
Driving Home for Christmas - 2019 Remaster,Chris Rea,jazz-blues,0
(Nothing's Too Good) For My Baby - Remastered,Louis Prima;Keely Smith;Sam Butera & The Witnesses,jazz-blues,0
Driving Home for Christmas - 2019 Remaster,Chris Rea,jazz-blues,0
Christmas Must Be Tonight - Remastered 2001,The Band,jazz-blues,0
Christmas Must Be Tonight - Remastered 2001,The Band,jazz-blues,0
Christmas Must Be Tonight - Remastered 2001,The Band,jazz-blues,0
Highway Star - Remastered 2012,Deep Purple,jazz-blues,67
Is This Love - 2018 Remaster,Whitesnake,jazz-blues,69
When A Blind Man Cries - Remastered,Deep Purple,jazz-blues,60
Here I Go Again - 2018 Remaster,Whitesnake,jazz-blues,69
I Was A Teenage Werewolf - Remastered,The Cramps,jazz-blues,1
I Was A Teenage Werewolf - Remastered,The Cramps,jazz-blues,1
I Was A Teenage Werewolf - Remastered,The Cramps,jazz-blues,0
I Was A Teenage Werewolf - Remastered,The Cramps,jazz-blues,0
Keep On Running - Remastered 2010,The Spencer Davis Group,jazz-blues,0
I'd Love to Change the World - 2004 Remaster,Ten Years After,jazz-blues,67
Helplessly Hoping - 2005 Remaster,"Crosby, Stills & Nash",jazz-blues,68
Sharp Dressed Man - 2008 Remaster,ZZ Top,jazz-blues,73
Play with Fire (feat. Yacht Money) - Extended Mix,Sam Tinnesz;Yacht Money,jazz-blues,47
Good Loving Will Make You Cry (Remastered),Carl Marshall,jazz-blues,36
I Remember When I Was Young - Bonus Track,Matt Taylor,jazz-blues,36
Comfortably Numb - Live At Pompeii 2016,David Gilmour,jazz-blues,53
Złoty Paw - 2003 Remaster,Dzem,jazz-blues,34
Everything I Do Gonh Be Funky - Live,Allen Toussaint,jazz-blues,0
Play with Fire (feat. Yacht Money) - Extended Mix,Sam Tinnesz;Yacht Money,jazz-blues,42
If I Get Drunk Tonight (Remix),Bigg Robb,jazz-blues,33
He's So Fine - Remastered 2000,The Chiffons,jazz-blues,0
Sweet Home Alabama - Edit,Lynyrd Skynyrd,jazz-blues,62
Let The Four Winds Blow - Remastered 2002,Fats Domino,jazz-blues,32
Blue Moon - Remastered,The Marcels,jazz-blues,35
Feel like Makin' Love - 2015 Remaster,Bad Company,jazz-blues,67
Tylko ja i ty - 2003 Remaster,Dzem,jazz-blues,33
Change the World - 2015 Remaster,Eric Clapton,jazz-blues,58
I Was A Teenage Werewolf - Remastered,The Cramps,jazz-blues,59
Tush - 2006 Remaster,ZZ Top,jazz-blues,69
Southern Cross - 2005 Remaster,"Crosby, Stills & Nash",jazz-blues,65
Some Kind Of Wonderful - Remastered 1999,Grand Funk Railroad,jazz-blues,70
The Weight - Remastered 2000,The Band,jazz-blues,72
Lipstick Traces - 2007 Remaster,UFO,jazz-blues,50
Here I Go Again - 2011 Remaster,Whitesnake,jazz-blues,60
My Baby Just Cares For Me - 2009 Remaster,Nina Simone,jazz-blues,29
Still of the Night - 2018 Remaster,Whitesnake,jazz-blues,58
You Got to Roll It Slow (Remix),The Love Doctor,jazz-blues,31
60K - Remix,Major RD;Rock Danger;Azzy;Baratapai,world,49
Sou Um Milagre - Live,Padre Marcos,world,48
Beggin' - Remix,HAWK.;Reznikov;Alex Albino,world,55
Pogba - Remix,Major RD;Bagua Records;Gooba,world,47
Maior abandonado (Ao Vivo) - Live,Barão Vermelho,world,0
Ainda Bem Que Chegou - Acoustic Version,Vitor Kley,world,45
"Oh, Quão Lindo esse nome é / Só Tu és Santo / Pra Te adorar - Live 2020",Gabriela Rocha,world,45
Queima de Novo - Live,Tony Allysson,world,45
Me Chama (Deluxe Version),Lobão,world,44
Mais Uma Vez - Remastered 2003,Renato Russo;14 Bis,world,43
Casa No Campo - Remastered 2021,Elis Regina,world,44
Enjoy the Greatness - Club Mix,Mandragora,world,0
Braços do Pai / Em Teus braços - Live 2020,Gabriela Rocha;Mariana Valadão,world,43
Supersonic (VIP),Noisia;Skrillex;josh pan;Dylan Brady,electronica,48
